Time,S_H1,S_H2,S_H3,S_H4,S_A,E_H1,E_H2,E_H3,E_H4,E_A,I1_H1,I1_H2,I1_H3,I1_H4,I1_A,I2_H1,I2_H2,I2_H3,I2_H4,I2_A,R_H1,R_H2,R_H3,R_H4,R_A,P_V,S_V,G_V,E1_V,E2_V,E3_V,I_V
2042.33595945629,116609.229783683,0,0,10587.4144920653,127205.442797,0.0659007381730227,0,0,0.0522596870282525,0,2.15779815517481,0,0,2.14077074259291,0,1.06496692202024,0,0,1.20582683473003,0,1.1662729578628,0,0,0.944725214300409,0,137387.178447543,10519.9164217545,116690.267472997,0.0375205526212961,0.0290718597432354,0.0225132146425656,0.0774140131597657
2042.34159611812,116609.233404197,0,0,10587.4177174402,127205.442797,0.06585391930858,0,0,0.0522225271755604,0,2.15843807070468,0,0,2.1391632675106,0,1.06522838034308,0,0,1.20494063233043,0,1.16179788908125,0,0,0.944030676722245,0,137387.178447543,10513.550292592,116696.633706975,0.0375043459346823,0.0290497269174075,0.0225003534591054,0.0773603988880499
2042.34723277996,116609.236977182,0,0,10587.4209400328,127205.442797,0.0658073462814145,0,0,0.0521855696225169,0,2.15906685470048,0,0,2.13755737146266,0,1.06549030977142,0,0,1.20405494900366,0,1.15738076299459,0,0,0.943336621085152,0,137387.178447543,10510.881340673,116699.302766634,0.0374835555351047,0.0290296244298758,0.022486596646094,0.0773073086159864
2042.35286944179,116609.240503357,0,0,10587.4241598499,127205.442797,0.0657609550722283,0,0,0.0521487624703375,0,2.15968462516509,0,0,2.13595309792265,0,1.06575266345362,0,0,1.20316978690871,0,1.15302085560071,0,0,0.942643046760562,0,137387.178447543,10514.3929705007,116695.791249616,0.0374551077869362,0.029012912765603,0.0224713432150766,0.07725491191073
2042.35850610362,116609.243983291,0,0,10587.4273767895,127205.442797,0.0657148634456073,0,0,0.0521121980885961,0,2.16029145498893,0,0,2.1343504547249,0,1.06601539550825,0,0,1.20228514848089,0,1.14871745156545,0,0,0.941949953212203,0,137387.178447543,10516.9293689478,116693.254962906,0.0374278759526514,0.0289956719351997,0.0224563268251859,0.0772026636769066
2042.3641548459,116609.247424889,0,0,10587.4305976597,127205.442797,0.0656690534601304,0,0,0.0520758613745618,0,2.16088868847201,0,0,2.13274602486871,0,1.06627902488187,0,0,1.20139914196592,0,1.14446080013113,0,0,0.941255856060493,0,137387.178447543,10513.3929861738,116696.791452212,0.037408122919738,0.028975071195813,0.0224427513042702,0.0771500610013759
2042.36980358818,116609.250821427,0,0,10587.4338156392,127205.442797,0.0656234566044114,0,0,0.0520396973829996,0,2.16147514655407,0,0,2.13114330035056,0,1.06654294387327,0,0,1.20051366626672,0,1.14025948209991,0,0,0.940562240759863,0,137387.178447543,10511.9138485534,116698.270697919,0.0373858308834758,0.028955600811137,0.0224286806644973,0.0770978074809727
2042.37545233046,116609.254173582,0,0,10587.4370307282,127205.442797,0.0655780326054134,0,0,0.0520036736040174,0,2.16205093030116,0,0,2.12954231131767,0,1.06680710833964,0,0,1.1996287239723,0,1.13611280327126,0,0,0.939869106891401,0,137387.178447543,10513.8849952376,116696.299662078,0.0373592802893362,0.0289380220645992,0.0224137788204517,0.0770459949791297
2042.38110107274,116609.257481946,0,0,10587.4402428663,127205.442797,0.0655328429519112,0,0,0.0519678382826407,0,2.16261611475247,0,0,2.12794306746746,0,1.06707147494779,0,0,1.19874431783396,0,1.1320200777521,0,0,0.939176454103426,0,137387.178447543,10515.3055436142,116694.87922388,0.0373334195927979,0.028920148986623,0.0223990127693937,0.0769943166451919
2042.38746060081,116609.261154946,0,0,10587.4438555971,127205.442797,0.0654823058523093,0,0,0.0519277650403742,0,2.1632398276223,0,0,2.1261446909925,0,1.06736929574176,0,0,1.1977492712537,0,1.12747608061112,0,0,0.938397219564299,0,137387.178447543,10512.2818826837,116697.903004672,0.0373100256999567,0.0288975112016352,0.0223835085760016,0.0769359905828309
